Equipo,Medalla_Oro
Club Nautique de Dieppe-5,0
Club Nautique de Franais-1,0
Club Nautique de Lyon-2,0
Cobweb-1,5
Colette-10,0
Colette-12,0
Colombia,8
Comanche,0
Combine,0
Comoros,0
Compigne Polo Club,0
Complex II,4
"Concordia Turnverein, St Louis",0
Congo,0
Congo (Brazzaville),0
Congo (Kinshasa),0
Cook Islands,0
Cornwall,0
Costa Rica,2
Cote d'Ivoire,1
Covunco III,0
Crabe I-11,0
Crabe I-2,0
Crabe I-3,0
Crabe II-1,0
Crabe II-12,0
Crabe II-4,0
Crete,0
Croatia,58
Crocodile-11,0
Crocodile-13,0
Cuba,166
Cuba-1,0
Cuba-2,0
Cupidon III,0
Cupidon Viking,0
Cuxhaven,0
Cyprus,1
Czech Republic,44
Czech Republic-1,0
Czech Republic-2,0
Czechoslovakia,81
Czechoslovakia-1,0
Czechoslovakia-2,0
Czechoslovakia-3,0
Côte d'Ivoire,0
Daisy,0
Damoiselle,0
Damoiselle IV,0
Danaldo,0
Dansk Idrts Forbund,0
Danuta,0
Danzig,0
"Davenport Turngemeinde, Davenport",0
DeRuyter,0
Demi-Mondaine-15,0
Demi-Mondaine-17,0
Democratic Republic of the Congo,0
Denmark,170
Denmark-1,0
Denmark-2,0
Denmark-3,0
Denmark-4,0
Denmark/Sweden,6
Deutscher Schwimm Verband Berlin,4
Devon and Somerset Wanderers,12
Diablo,0
Diabolo St Maurice,0
Dick-8,0
Digby,0
Dinah V,0
Djibouti,0
Djinn,0
Dolfijn,0
Dominica,0
Dominican Republic,3
Don Schufro,0
Donar III,0
Dormy-1,3
Dow Jones,0
Dresden,0
Druzhba,0
Ducky-16,0
Ducky-4,0
Dylan-2,0
EA II,0
East Germany,369
East Germany-1,24
East Germany-2,4
East Germany-3,0
Ecuador,2
Edelweiss II-1,3
Egypt,7
Eissero VI,0
El Salvador,0
Eleda,7
Elisabeth V,3
Elisabeth X,0
Elsie,0
Elvis Va,1
Emily,0
Encore,0
England,0
England-1,11
Enotria,0
Equatorial Guinea,0
Eritrea,0
Erna Signe,0
Escapade,0
Espadarte,0
Espardate,0
Esperia,0
Espuma del Mar,0
Essen,0
Esterel-1,2
Estonia,13
Ethiopia,23
Ethnikos Gymnastikos Syllogos,0
Evita VI,0
Fada,0
Falcon IV,0
Falcon VI,0
Faneca,0
Fantasio III,0
Fantlet-2,0
Fantlet-7,1
Faroe Islands,0
Favorite Hammonia-3,0
Favorite-1,0
Favorite-17,0
Federated States of Micronesia,0
Femur-1,1
Femur-18,0
Feo,0
Fiji,13
Finland,199
Finland-1,0
Finland-2,0
Finn II,0
Firebird II,0
Floresco,0
Formosa,0
Fornebo,0
Fortuna,0
Foxhunters Hurlingham,5
Fram,0
Fram III,0
France,471
France-1,4
France-2,0
France-3,2
France-4,0
France/Great Britain,0
Frankfurt Club,0
Freddy,0
Freia-19,0
Freia-5,0
Freja,0
Frieda,0
Frimousse,0
Frip IV,0
Fruits,0
Gabbiano,0
Gabon,0
Galatea II,0
Galejan,0
Galerna,0
Gallant,0
Gallia II,0
Galopin De La Font,0
Galopin-20,0
Galopin-9,0
Galt Football Club,13
Gam II,0
Gambia,0
Gem,2
Gem II,0
Gem III,0
Gem IV,0
Gem VII,0
Georgia,8
Germania II,0
"Germania Ruder Club, Hamburg",0
"Germania Ruder Club, Hamburg-2",5
Germany,691
Germany-1,28
Germany-2,14
Germany-3,0
Germany/United States,0
Ghana,0
Gilliatt V,0
Girl Pat,0
Giselle-6,0
Gitana-2,0
Gitana-21,0
Glider,0
Glisten,0
Gran Gesto,0
Great Britain,575
Great Britain-1,20
Great Britain-2,4
Great Britain-3,0
Great Britain-4,0
Great Britain/Germany,2
Greece,43
Greece-1,0
Greece-2,0
Greece-3,0
Greece-4,0
Greenoaks Dundee,0
Grenada,1
Grifo III,0
Grifo IV,0
Grifone,0
Gteborgs Roddfrening-2,0
Gteborgs Roddklubb-1,0
Guam,0
Guanahani,0
Guatemala,0
Guinea,0
Guinea Bissau,0
Guinea-Bissau,0
Gullvinge,0
Gustel V,0
Gustel X,0
Gustl XI,0
Guyana,0
Guyoni,0
Gwendoline-2,0
Gwendoline-22,0
GyoshuII,0
Gyp-23,0
Gyp-6,0
Gyrinus-1,6
Haiti,0
Hakahana,0
Hamburg,0
Hannover,0
Harmony,0
Hatuey,0
Hayama,0
Hb-20,0
Hb-24,0
Heatherbell,0
Heidelberg,0
Heira II,9
Helsingfors R. K.,0
Hera-1,10
Heroine,4
Hi-Hi,0
Hilarius,2
Hirondelle,0
Hojwa,0
Holland,0
Hollandia,0
Honduras,0
Hong Kong,1
"Hong Kong, China",0
Hong Kong-1,0
Hong Kong-2,0
Hornet,0
Humbug V,0
Hungaria,0
Hungaria Evezos Egylet,0
Hungary,439
Hungary-1,0
Hungary-2,0
Hungary-3,0
Hurlingham-2,0
Iceland,0
Ilderim,0
Impala,0
Inca,0
Independent Rowing Club-3,0
India,143
India-1,0
India-2,0
Individual Olympic Athletes,1
Indonesia,10
Indonesia-1,4
Indonesia-2,0
Inga-Lill XXXXIII,0
Ingegerd,0
Iran,18
Iraq,0
Ireland,13
Ireland-1,0
Ireland-2,0
Ireland-3,0
Irene,5
Islamic Republic of Iran,23
Israel,4
Israel-1,0
Israel-2,0
Italia,6
Italy,550
Italy-1,14
Italy-2,0
Italy-3,0
Jamaica,38
Jamaica-1,0
Jamaica-2,0
Japan,259
Japan-1,0
Japan-2,0
Japan-3,0
Jeanette-25,0
Jeannette-18,0
Jest,2
Jet,0
Jill,0
Jo,3
Johan,0
John B,0
Jordan,5
Joy,0
June Climene,0
Jupiter,2
K Division Metropolitan Police Team-3,0
K.S.S.S. 1912-2,0
KNS,0
Kalayaan,0
Kannibaltje,0
Kathleen,2
Kazakhstan,21
Kemphaan,0
Kenya,34
Kerstin-1,0
Kiel,0
Kingfisher,0
Kiribati,0
Kitty-1,8
Kln,0
Knigsberg,0
Kon-Tiki,0
Konstanz,0
Korshun,0
Kosovo,1
Kristiania Roklub,0
Kristiania Roklub-1,0
Kuling,0
Kullan,3
Kurush II,0
Kurush IV,0
Kuwait,0
Kyrgyzstan,0
L'Aile VI,6
"La Salle Turnverein, Chicago",0
LaBandera,0
Lady C,0
Lalage,5
Lancet,0
Lao People's Democratic Republic,0
Laos,0
"Large boat, Central Naval Prep School ""Poros""-1",17
Lasha,0
Latvia,3
Latvia-1,0
Latvia-2,0
Laurea-1,0
Lbeck,0
Leander Club #1-1,2
Leander Club #2-2,0
Leander Club-1,18
Leander Club-2,0
Lebanon,0
Legionario,0
Leipzig,0
"Lemzos Thorichton ""Psara""-3",0
"Lemzos Thorichton ""Spetsai""-4",0
Lerina,3
Lesotho,0
Lett,0
Libellule de Paris,0
Libellule de Paris-3,0
Liberia,0
Libya,0
Liechtenstein,2
"Life boat naval ship ""Spetsai""-1",0
Linglom,0
Lithuania,6
Liverpool Police Team-2,0
Llanoria,11
London City Police-1,8
Lotta IV,0
Lucky,0
Lucky Girl-1,0
Lucky Star,0
Ludwigshafener Ruder Verein-1,0
Ludwigshafener Ruderverein,5
Lully II,0
Luxembourg,4
Luxembourg-1,0
Luxembourg-2,0
Lyn-2,0
Lynn,0
Ma'Lindo,0
Mac Miche,3
Macedonia,0
Macky VI,0
Mad Dog,0
Madagascar,0
Magda IX,10
Magdalen College Boat Club-1,4
Maid of Lebanon,0
Mainz,0
Malawi,0
Malaya,0
Malaysia,3
Malaysia-1,0
Malaysia-2,0
Maldives,0
Mali,0
Malta,0
Mamie-4,0
Mamie-6,0
Manana,0
Marga-2,0
Margaret,0
Mari,0
Marie-Tim,0
"Marinai della nave da guerra ""Varese""",7
Marmara,0
Marmi II-1,0
Marshall Islands,0
Marsouin-26,0
Marsouin-8,0
Martha-1,0
Martha-27,0
Maryke,0
Mascaret-28,0
Mascaret-4,0
Mascotte,0
Matrero II,0
Mauritania,0
Mauritius,0
Mauritius-1,0
Mauritius-2,0
May Be,0
May Be VII,0
May-Be 1960,0
Mebi,0
Merope,2
Merope III,0
Meteor,0
Mexico,37
Mexico-1,0
Mexico-2,0
Mignon-29,0
Mignon-3,0
Milwaukee Athletic Club-1,5
"Milwaukee Turnverein, Milwaukee",0
Minerva Amsterdam,3
Minotaur,3
Mirtala,0
Miss Denmark 1964,0
Miss Nippon IV,0
Miss Nippon V,0
Missouri Athletic Club-3,0
Mistral Hojris,0
MitaII,0
Mizar,0
Mohawk Indians-2,0
Moldova,0
Monaco,0
Monaco-1,0
Monaco-2,0
Mongolia,3
Monica,0
Montenegro,0
Moorina,0
Morena,0
Morocco,10
Moseley Wanderers,0
Mosk II,7
Mouchette-2,0
Mound City Rowing Club-2,0
Mozambique,1
Mutafo,0
Myanmar,0
Myojo,0
Mystery,0
Mythilus,0
Nadine,0
Naiad,0
Namibia,0
Namoussa,0
Nan-2,0
Nauru,0
Nausikaa 4,0
Nautikos Omilos-3,0
Nepal,1
Nephos I,0
Neptun II,0
Netherlands,310
Netherlands Antilles,0
Netherlands-1,0
Netherlands-2,0
"New College, Oxford-2",0
New York Athletic Club,5
New York Athletic Club #1-1,4
New York Athletic Club #2-4,0
New York Athletic Club-1,7
New York Athletic Club-4,0
"New York Turnverein, New York",0
New Zealand,90
New Zealand-1,0
New Zealand-2,0
Newfoundland,0
Nicaragua,0
Niger,0
Nigeria,27
Nigeria-1,0
Nigeria-2,0
Nikh,0
Nina,0
Nina Claire-2,0
Nina Claire-30,0
Nirefs,3
Nirwana,0
Nokaut II,0
Nora,0
Noreg,0
Norman-1,0
Norna,4
Nortazo,0
North Borneo,0
North Korea,16
North Korea-1,0
North Korea-2,0
North Macedonia,0
North Yemen,0
Norway,301
Norway-1,0
Norway-2,0
Norway-3,0
Norwegian Rowing Association,0
"Norwegier Turnverein, Brooklyn",0
Notavel,0
Nrnberg,1
Nurdug II,0
Nykjbings paa Falster,5
Oleander II,0
Oleander XII,0
Olen,0
Olimpia,0
Olle,6
Olympion,0
Oman,0
Omas Helliniki P. S.,0
Omilos Ereton Peiraios-2,0
Omilos Ereton Smyrnis,0
Oranje,3
Orion,0
Ormsund Roklub-2,0
"Osborne Swimming Club, Manchester",7
Oxalis,0
Paka,0
Paka V,0
Pakaria,0
Pakistan,43
Palau,0
Palestine,0
Pam,0
Pampero,0
Pan,6
Pan II,0
Pan-Hellenic Athletic Club,0
Panama,1
Pandora,2
Panhellenios Gymnastikos Syllogos-1,0
Pannonia RC/National RC,0
Papua New Guinea,0
Paraguay,0
Partenope,0
Pasodoble,0
"Passaic Turnverein, Passaic",0
Patricia,0
Paula,0
Pegaso,0
Peiraikos Syndesmos-2,0
People's Republic of China,90
Peri,0
Peri II,0
Persey,0
Peru,2
Pettit-Poucet-6,0
"Phalainis ton Thorichtou ""Hydra""-2",0
"Phalainis ton Thorichtou ""Psara""-3",0
"Philadelphia Turngemeinde, Philadelphia",6
Philippines,0
Phoenix,0
Pierre et Jean-3,0
Pierre et Jean-4,0
Pigoule,0
Pimm,0
Pirouette-31,0
Pirouette-5,0
Pistoja/Firenze,0
Plume-Patte-5,0
Plume-patte-32,0
Poland,125
Poland-1,0
Poland-2,0
Poland-3,0
Polyteknisk Roklub-1,0
Pop Art,0
Portugal,4
Portugal-1,0
Portugal-2,0
Posillipo III,0
Potomac Archers,4
Potsdam,0
Pousse-Moi Pas VII,0
Primorka,0
Proteus II,0
Puerto Rico,1
Puerto Rico-1,0
Puerto Rico-2,0
Pupilles de Neptune de Lille #1-3,0
Pupilles de Neptune de Lille #2-1,0
Pupilles de Neptune de Lille-1,0
Qatar,0
Qu'Importe,0
Quand-Mme-2,0
Quand-Mme-33,0
Quando Quando,0
Quicksilver-2,0
"R.-V. Germania, Leitmeritz",0
RPC,39
Racing Club de France,0
Raili,0
Ral-Club Barcelona,0
Ralia,0
Rambo,0
Rampage,0
Ravel,0
Ravenswood Boat Club-2,0
Red Dragon,0
Red Indian,0
Refugee Olympic Athletes,0
Refugee Paralympic Team,0
Relampago,0
Republic of Korea,4
Republic of Moldova,0
Rhodesia,0
Rhythm,0
Riccar,0
Rififi,0
Rika II,0
Roddklubben af 1912-1,0
Roddklubben af 1912-2,0
Roehampton-1,4
Roklubb Kbnhavn-2,0
Roma,0
Romania,161
Romania-1,0
Romania-2,0
Romolo,0
Rose Pompon,0
Rostock,0
Rowing Club Castillon-3,0
Roy,0
Royal Club Nautique de Gand,0
Rozenn-3,0
Rush IV,0
Rush V,3
Rush VII,0
Russia,366
Russia-1,22
Russia-2,2
Russia-3,0
Rwanda,0
Saar,0
Sabre,0
Saga-2,0
SagaII,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Salamander,0
Salinero,0
Samoa,0
San Marino,0
Sandra,0
Sans Atout-1,0
Santa Maria,0
Sao Tome and Principe,0
Sarcelle-3,0
Sarcelle-35,0
Saskia,0
Sass-2,0
Satchmo,1
Saudi Arabia,0
Scamasaxe-2,0
Scamasaxe-3,0
Scamasaxe-34,0
Scaup,0
Scotia,6
Scotland,0
Scotland-2,0
Scotland-3,0
Scram,0
Sea Dog-2,0
Seawanhaka Boat Club-1,2
Senegal,0
Serbia,16
Serbia and Montenegro,12
Serbia-1,0
Serbia-2,0
Serendipity,0
Seychelles,0
Sheerio,0
Shoveller,0
Shrew II,0
Siames-Cat,0
Sibindi-2,0
Sidi Fekkar-36,0
Sidi-Fekkar-14,0
Sierra Leone,0
Sif,4
Sildra-1,4
Silja,0
Singapore,2
Singapore-1,0
Singapore-2,0
Singy-37,0
Singy-7,0
Sirene,2
Sjhxa,0
Sjovinge,0
Skidoo,0
Skum,0
Slaghoken,0
Slaghoken II,3
Slovakia,22
Slovakia-1,0
Slovakia-2,0
Slovenia,8
Slovenia-1,0
Slovenia-2,0
Smyrna,0
Snap,0
Snowten III,0
Snude,0
"Socialer Turnverein, Detroit",0
Societ Nautique de la Marne,0
Societ Nautique de la Marne-1,0
Societ Nautique de la Marne-3,0
Socit Nautique de Bayonne,0
Socit Nautique de Bayonne-1,0
Socit Nautique de Bayonne-2,0
Socit Nautique de la Basse Seine-1,0
Socit Nautique de la Basse Seine-2,0
Solomon Islands,0
Solos Carex,0
Somalia,0
Sonja II,0
Sorais-2,0
Souriceau-38,0
Souriceau-4,0
South Africa,35
South Africa-1,0
South Africa-2,0
South Korea,211
South Korea-1,6
South Korea-2,4
"South St Louis Turnverein, St Louis",0
South Sudan,0
South Vietnam,0
South Yemen,0
Souvenance,0
Soviet Union,1058
Soviet Union-1,22
Soviet Union-2,0
Soviet Union-3,0
Spain,119
Spain-1,0
Spain-2,2
Spirit III,0
Spirit VI,0
Springbok,0
Squid III,0
Sri Lanka,1
St Vincent and the Grenadines,0
St. Louis Amateur Athletic Association,0
St. Louis Southwest Turnverein #1-2,0
St. Louis Southwest Turnverein #2-3,0
St. Margrite,0
St. Rose-2,0
Stade Franais AC-2,0
Starita,0
Starlight III,0
State VI,0
Stella-2,0
Struten,0
Studenternes Roklub-2,0
Subbnboana,0
Sudan,0
Sunrise,0
Sunshine,0
Suriname,1
Surprise,0
Suzon IV-39,0
Suzon IV-5,0
Suzy-2,0
Swaziland,0
Sweden,452
Sweden-1,0
Sweden-2,0
Sweden-3,0
Sweden-4,0
Swedish Star,0
Swift,2
Switzerland,147
Switzerland-1,20
Switzerland-2,8
Sydney Rowing Club,0
Sylvia,0
Symphony,0
Syndi,0
Syria,1
Syrian Arab Republic,0
Taifun,5
Tajamar,0
Tajikistan,1
Tan-Fe-Pah,0
Tango,0
Tantalus,0
Tanzania,0
Tengiri,0
Teresita,0
Terrible,0
Thailand,15
Thailand-1,0
Thailand-2,0
Thalatta,0
Thames Rowing Club,0
The Cloud,0
Thessalonki-1,0
Three Leaves,0
Three Star Too,0
Tichiboo,0
Tilly,0
Tim-Tam III,0
Timor Leste,0
Tineke,0
Tip,0
Titia,0
Tlaloc,0
Togo,0
Tom Kyle,0
Tomahawk II,0
Tonga,0
Tornade-16,0
Tornado,2
Toronto Argonauts,0
Tournade-40,0
Tramontane,0
Trans-Mississippi Golf Association-2,0
Trickson VI,0
Trinidad and Tobago,7
Trintel II,0
Tritons Lillois-2,0
Tu-Fri,0
Tulilind,0
Tunisia,5
Turkey,47
Turkmenistan,0
"Turnverein Vorwrts, Chicago",0
"Turnverein Vorwrts, Cleveland",0
Turquoise-1,0
Turquoise-3,0
Tutti V,0
Tuvalu,0
Twinkle,0
Twins II,0
Twins VIII,0
USFSA,0
Ubu,0
Uganda,2
Ukraine,65
Ukraine-1,0
Ukraine-2,0
Umberta V,0
Unified Team,123
Unified Team-1,4
Unified Team-2,0
Unified Team-3,0
Union des Socits Franais de Sports Athletiques,17
Unique,0
United Arab Emirates,2
United Arab Republic,0
United Republic of Tanzania,0
United States,2474
United States Golf Association-3,0
United States Virgin Islands,0
United States Virgin Islands-1,0
United States Virgin Islands-2,0
United States of America,55
United States-1,38
United States-10,0
United States-11,0
United States-12,0
United States-13,0
United States-14,0
United States-2,17
United States-3,0
United States-4,0
United States-5,0
United States-6,0
United States-7,0
United States-8,0
United States-9,0
United States/France,0
United States/Great Britain,0
Univ. of Brussels,0
Unknown,0
Upton Park FC,11
Uragan,0
Uruguay,31
Uzbekistan,18
Uzbekistan-1,0
Uzbekistan-2,0
Vanuatu,0
Vaxholm Roddklubb,0
Venezuela,4
Venilia,0
Vento Sul,0
Verveine-19,0
Verveine-41,0
Vesania,0
Vesper Boat Club,18
Vicking,0
Vietnam,1
Viking,0
Viktoriya,0
Vim III,0
Vinga-1,0
Vinha,0
"Virgin Islands, US",0
Virginie,0
Vision,0
Voloira II,0
Wales-4,0
Wannsee,2
Web II,0
Web III,0
Wendehals,0
West Germany,155
West Germany-1,2
West Germany-2,2
West Germany-3,0
West Indies Federation,0
Western Golf Association-1,10
Western Rowing Club-3,0
Whirlaway,0
Whisper,0
White Lady,3
Whitini Star,0
Widgeon,0
Wiking,0
Willem-Six,0
Windor,0
Winnipeg Shamrocks-1,12
Wolseley-Siddeley-1,0
Xantippa,0
Xolotl,0
Yangon,0
Yemen,0
Yeoman,0
Yeoman V,0
Yeoman VII,0
Yeoman XII,0
Ylliam II,0
Ylliam VII,0
Ylliam VIII,0
Yugoslavia,130
Yugoslavia-1,0
Yugoslavia-2,0
Zambia,0
Zefyros,0
Zimbabwe,17
Zut,0
rn-2,0
