Equipo,Medallas
Nan-2,0
Nauru,0
Nausikaa 4,0
Nautikos Omilos-3,0
Nepal,1
Nephos I,0
Neptun II,0
Netherlands,1039
Netherlands Antilles,1
Netherlands-1,2
Netherlands-2,0
"New College, Oxford-2",9
New York Athletic Club,5
New York Athletic Club #1-1,4
New York Athletic Club #2-4,0
New York Athletic Club-1,7
New York Athletic Club-4,0
"New York Turnverein, New York",6
New Zealand,230
New Zealand-1,0
New Zealand-2,0
Newfoundland,0
Nicaragua,0
Niger,2
Nigeria,111
Nigeria-1,0
Nigeria-2,0
Nikh,0
Nina,7
Nina Claire-2,4
Nina Claire-30,0
Nirefs,3
Nirwana,0
Nokaut II,0
Nora,0
Noreg,0
Norman-1,0
Norna,4
Nortazo,0
North Borneo,0
North Korea,65
North Korea-1,2
North Korea-2,0
North Macedonia,0
North Yemen,0
Norway,914
Norway-1,0
Norway-2,0
Norway-3,0
Norwegian Rowing Association,0
"Norwegier Turnverein, Brooklyn",0
Notavel,0
Nrnberg,1
Nurdug II,3
Nykjbings paa Falster,5
Oleander II,0
Oleander XII,0
Olen,0
Olimpia,0
Olle,6
Olympion,0
Oman,1
Omas Helliniki P. S.,8
Omilos Ereton Peiraios-2,0
Omilos Ereton Smyrnis,0
Oranje,3
Orion,0
Ormsund Roklub-2,5
"Osborne Swimming Club, Manchester",7
Oxalis,0
Paka,0
Paka V,0
Pakaria,0
Pakistan,122
Palau,0
Palestine,0
Pam,0
Pampero,0
Pan,6
Pan II,0
Pan-Hellenic Athletic Club,0
Panama,3
Pandora,2
Panhellenios Gymnastikos Syllogos-1,0
Pannonia RC/National RC,0
Papua New Guinea,0
Paraguay,17
Partenope,0
Pasodoble,0
"Passaic Turnverein, Passaic",0
Patricia,0
Paula,0
Pegaso,0
Peiraikos Syndesmos-2,0
People's Republic of China,179
Peri,0
Peri II,0
Persey,0
Peru,16
Pettit-Poucet-6,0
"Phalainis ton Thorichtou ""Hydra""-2",24
"Phalainis ton Thorichtou ""Psara""-3",0
"Philadelphia Turngemeinde, Philadelphia",6
Philippines,10
Phoenix,0
Pierre et Jean-3,0
Pierre et Jean-4,0
Pigoule,0
Pimm,0
Pirouette-31,0
Pirouette-5,0
Pistoja/Firenze,9
Plume-Patte-5,0
Plume-patte-32,0
Poland,586
Poland-1,2
Poland-2,0
Poland-3,0
Polyteknisk Roklub-1,5
Pop Art,0
Portugal,37
Portugal-1,0
Portugal-2,0
Posillipo III,0
Potomac Archers,4
Potsdam,1
Pousse-Moi Pas VII,0
Primorka,0
Proteus II,0
Puerto Rico,9
Puerto Rico-1,0
Puerto Rico-2,0
Pupilles de Neptune de Lille #1-3,0
Pupilles de Neptune de Lille #2-1,8
Pupilles de Neptune de Lille-1,4
Qatar,6
Qu'Importe,0
Quand-Mme-2,9
Quand-Mme-33,0
Quando Quando,0
Quicksilver-2,0
"R.-V. Germania, Leitmeritz",0
RPC,113
Racing Club de France,11
Raili,0
Ral-Club Barcelona,0
Ralia,5
Rambo,0
Rampage,0
Ravel,0
Ravenswood Boat Club-2,2
Red Dragon,0
Red Indian,0
Refugee Olympic Athletes,0
Refugee Paralympic Team,0
Relampago,0
Republic of Korea,23
Republic of Moldova,0
Rhodesia,0
Rhythm,0
Riccar,0
Rififi,0
Rika II,0
Roddklubben af 1912-1,5
Roddklubben af 1912-2,0
Roehampton-1,4
Roklubb Kbnhavn-2,0
Roma,0
Romania,654
Romania-1,2
Romania-2,0
Romolo,0
Rose Pompon,3
Rostock,1
Rowing Club Castillon-3,3
Roy,0
Royal Club Nautique de Gand,21
Rozenn-3,0
Rush IV,0
Rush V,3
Rush VII,3
Russia,1110
Russia-1,36
Russia-2,12
Russia-3,0
Rwanda,0
Saar,0
Sabre,0
Saga-2,0
SagaII,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Salamander,0
Salinero,1
Samoa,0
San Marino,0
Sandra,0
Sans Atout-1,5
Santa Maria,6
Sao Tome and Principe,0
Sarcelle-3,3
Sarcelle-35,0
Saskia,0
Sass-2,0
Satchmo,1
Saudi Arabia,7
Scamasaxe-2,2
Scamasaxe-3,2
Scamasaxe-34,0
Scaup,0
Scotia,6
Scotland,0
Scotland-2,0
Scotland-3,11
Scram,0
Sea Dog-2,0
Seawanhaka Boat Club-1,2
Senegal,1
Serbia,91
Serbia and Montenegro,64
Serbia-1,0
Serbia-2,0
Serendipity,0
Seychelles,0
Sheerio,0
Shoveller,0
Shrew II,2
Siames-Cat,0
Sibindi-2,0
Sidi Fekkar-36,0
Sidi-Fekkar-14,0
Sierra Leone,0
Sif,4
Sildra-1,4
Silja,6
Singapore,10
Singapore-1,0
Singapore-2,0
Singy-37,0
Singy-7,0
Sirene,2
Sjhxa,0
Sjovinge,0
Skidoo,0
Skum,2
Slaghoken,3
Slaghoken II,3
Slovakia,60
Slovakia-1,0
Slovakia-2,0
Slovenia,49
Slovenia-1,0
Slovenia-2,0
Smyrna,11
Snap,3
Snowten III,0
Snude,0
"Socialer Turnverein, Detroit",0
Societ Nautique de la Marne,0
Societ Nautique de la Marne-1,2
Societ Nautique de la Marne-3,0
Socit Nautique de Bayonne,0
Socit Nautique de Bayonne-1,3
Socit Nautique de Bayonne-2,5
Socit Nautique de la Basse Seine-1,8
Socit Nautique de la Basse Seine-2,0
Solomon Islands,0
Solos Carex,0
Somalia,0
Sonja II,0
Sorais-2,5
Souriceau-38,0
Souriceau-4,0
South Africa,136
South Africa-1,0
South Africa-2,0
South Korea,592
South Korea-1,30
South Korea-2,16
"South St Louis Turnverein, St Louis",0
South Sudan,0
South Vietnam,0
South Yemen,0
Souvenance,0
Soviet Union,2451
Soviet Union-1,26
Soviet Union-2,24
Soviet Union-3,0
Spain,519
Spain-1,2
Spain-2,4
Spirit III,0
Spirit VI,0
Springbok,0
Squid III,0
Sri Lanka,4
St Vincent and the Grenadines,0
St. Louis Amateur Athletic Association,12
St. Louis Southwest Turnverein #1-2,5
St. Louis Southwest Turnverein #2-3,5
St. Margrite,0
St. Rose-2,12
Stade Franais AC-2,0
Starita,2
Starlight III,0
State VI,0
Stella-2,3
Struten,0
Studenternes Roklub-2,0
Subbnboana,0
Sudan,1
Sunrise,1
Sunshine,2
Suriname,2
Surprise,0
Suzon IV-39,0
Suzon IV-5,0
Suzy-2,0
Swaziland,0
Sweden,1443
Sweden-1,2
Sweden-2,4
Sweden-3,2
Sweden-4,0
Swedish Star,2
Swift,2
Switzerland,594
Switzerland-1,72
Switzerland-2,22
Sydney Rowing Club,0
Sylvia,6
Symphony,2
Syndi,0
Syria,3
Syrian Arab Republic,0
Taifun,5
Tajamar,0
Tajikistan,4
Tan-Fe-Pah,3
Tango,3
Tantalus,0
Tanzania,2
Tengiri,0
Teresita,0
Terrible,0
Thailand,48
Thailand-1,0
Thailand-2,0
Thalatta,0
Thames Rowing Club,5
The Cloud,0
Thessalonki-1,11
Three Leaves,0
Three Star Too,0
Tichiboo,0
Tilly,0
Tim-Tam III,0
Timor Leste,0
Tineke,0
Tip,3
Titia,0
Tlaloc,0
Togo,1
Tom Kyle,0
Tomahawk II,0
Tonga,1
Tornade-16,0
Tornado,5
Toronto Argonauts,18
Tournade-40,0
Tramontane,0
Trans-Mississippi Golf Association-2,10
Trickson VI,0
Trinidad and Tobago,32
Trintel II,0
Tritons Lillois-2,5
Tu-Fri,0
Tulilind,0
Tunisia,21
Turkey,116
Turkmenistan,0
"Turnverein Vorwrts, Chicago",0
"Turnverein Vorwrts, Cleveland",0
Turquoise-1,1
Turquoise-3,0
Tutti V,5
Tuvalu,0
Twinkle,0
Twins II,0
Twins VIII,0
USFSA,13
Ubu,0
Uganda,8
Ukraine,266
Ukraine-1,2
Ukraine-2,0
Umberta V,0
Unified Team,271
Unified Team-1,4
Unified Team-2,4
Unified Team-3,0
Union des Socits Franais de Sports Athletiques,29
Unique,0
United Arab Emirates,4
United Arab Republic,2
United Republic of Tanzania,0
United States,5219
United States Golf Association-3,10
United States Virgin Islands,1
United States Virgin Islands-1,0
United States Virgin Islands-2,0
United States of America,129
United States-1,101
United States-10,0
United States-11,0
United States-12,0
United States-13,0
United States-14,0
United States-2,51
United States-3,2
United States-4,2
United States-5,0
United States-6,0
United States-7,0
United States-8,0
United States-9,0
United States/France,2
United States/Great Britain,2
Univ. of Brussels,11
Unknown,0
Upton Park FC,11
Uragan,0
Uruguay,63
Uzbekistan,52
Uzbekistan-1,0
Uzbekistan-2,0
Vanuatu,0
Vaxholm Roddklubb,0
Venezuela,20
Venilia,3
Vento Sul,0
Verveine-19,0
Verveine-41,0
Vesania,0
Vesper Boat Club,18
Vicking,0
Vietnam,5
Viking,0
Viktoriya,0
Vim III,0
Vinga-1,5
Vinha,0
"Virgin Islands, US",0
Virginie,0
Vision,4
Voloira II,0
Wales-4,11
Wannsee,2
Web II,3
Web III,0
Wendehals,0
West Germany,558
West Germany-1,26
West Germany-2,2
West Germany-3,0
West Indies Federation,5
Western Golf Association-1,10
Western Rowing Club-3,6
Whirlaway,0
Whisper,0
White Lady,3
Whitini Star,0
Widgeon,2
Wiking,0
Willem-Six,3
Windor,0
Winnipeg Shamrocks-1,12
Wolseley-Siddeley-1,0
Xantippa,0
Xolotl,0
Yangon,0
Yemen,0
Yeoman,0
Yeoman V,0
Yeoman VII,0
Yeoman XII,0
Ylliam II,0
Ylliam VII,0
Ylliam VIII,0
Yugoslavia,390
Yugoslavia-1,0
Yugoslavia-2,0
Zambia,2
Zefyros,0
Zimbabwe,22
Zut,3
rn-2,0
